,Month of Period End,pred_LR,pred_Lasso,pred_Ridge,pred_En,pred_Average,dynamic_vote,Median Sale Price,cluster
139,8/23,493185.3332331479,624762.6537831426,493260.3910013901,621682.1232168898,558222.6253086426,584963.4951133515,587000,3
140,9/23,485018.7260550729,601572.2166946041,485204.72451057617,607501.069185418,544824.1841114177,568562.2483373003,587000,3
141,10/23,477477.4324610194,606406.049845766,477600.1269192204,597226.6790369467,539677.5720657381,565830.5323252617,550000,3
142,11/23,470477.0781278531,603776.2417581531,470556.260194371,587488.2965702132,533074.4691626476,560069.617863858,573000,3
143,12/23,479042.2904323983,602581.1260587478,479123.7574372686,594216.7318880451,538740.976454115,563807.4211273995,574000,3
144,1/24,472245.3389125898,606948.9354226599,472345.2841138674,586855.9620609588,534598.880127519,561850.113930451,550000,3
145,2/24,476101.46952363476,624754.8860636558,476181.67305695586,589213.196619595,541562.8063159604,571542.4294977967,570000,3
146,3/24,482081.3003773645,648005.5915974177,482121.3397828393,600114.2173985725,553080.6122890485,586488.8440350599,579000,3
147,4/24,484278.01205029414,674031.1734819692,484286.83200503094,608450.2449606208,562761.5656244787,600893.1268044476,580000,3
148,5/24,473586.52658919524,679970.6639492236,473639.9587278979,608031.6892331985,558807.2096248788,600271.9479262324,600000,3
149,6/24,476370.3138383106,663318.7282820692,476520.23735683435,622177.1186860667,559596.5995408202,597320.1120143436,605000,3
150,7/24,462478.6248152607,662356.9743091345,462607.0778363644,621829.9821754638,552318.1647840559,592679.0434626137,597000,3
