Regime,LR,Lasso,Ridge,En
0,0.35663450263420177,0.14849007150821136,0.35721287782046124,0.13766254803712566
1,0.1395416710455769,0.4536570978210787,0.1388586281822555,0.26794260295108896
2,0.20070817661240303,0.1663661475954445,0.20108013595336877,0.43184553983878365
3,0.03686160553673953,0.34475210170792886,0.036761059936047294,0.5816252328192842
